Drug,Enzyme,Action,Database,DrugID
levofloxacin,CYP3A4,inhibitor,DrugBank,DB01137
levofloxacin,SLC22A6,substrate,transporter,
levofloxacin,SLC22A2,inhibitor,transporter,
levofloxacin,CYP1A2,inhibitor,SuperCYP,100986854
levofloxacin,CYP3A4,inhibitor,SuperCYP,100986854
levomenol,SLCO1B1,substrate,transporter,
levomenol,SLC01B1,substrate,transporter,
levomenol,SLC01B3,substrate,transporter,
levomepromazine,CYP2D6,inhibitor,Indiana University,
levomepromazine,CYP2D6,Inhibitor,ildcare,
levomepromazine,CYP2D6,inhibitor,SuperCYP,60991
levomepromazine,CYP2D6,substrate,SuperCYP,60991
levomepromazine,CYP2E1,inhibitor,SuperCYP,60991
levomepromazine,CYP2D6,inhibitor,KEGG,D01520
levomepromazine,CYP2D6,substrate,KEGG,D01520
levomethadone,CYP2B6,substrate,KEGG,D08121
levomethadone,CYP2D6,inhibitor,KEGG,D08121
levomethadyl,CYP3A7,substrate,DrugBank,DB01227
levomethadyl,CYP3A5,substrate,DrugBank,DB01227
levomethadyl,CYP3A4,substrate,DrugBank,DB01227
levomilnacipran,CYP2C8,substrate,DrugBank,DB08918
levomilnacipran,CYP2C19,substrate,DrugBank,DB08918
levomilnacipran,CYP2D6,substrate,DrugBank,DB08918
levomilnacipran,CYP2J2,substrate,DrugBank,DB08918
levomilnacipran,CYP3A4,substrate,DrugBank,DB08918
levonorgestrel,CYP3A4,substrate,DrugBank,DB00367
levonorgestrel,CYP3A4,substrate,SuperCYP,797637
levonorgestrel,CYP19A,inhibitor,SuperCYP,797637
levosalbutamol,SLCO1B1,substrate,transporter,
levosalbutamol,SLC01B1,substrate,transporter,
levosalbutamol,SLC01B3,substrate,transporter,
levothyroxine,CYP2C8,inhibitor,DrugBank,DB00451
levothyroxine,CYP3A4,substrate,DrugBank,DB00451
levothyroxine,CYP1A1,substrate,SuperCYP,55038
levothyroxine,CYP1A2,substrate,SuperCYP,55038
levothyroxine,CYP3A4,substrate,SuperCYP,55038
levoverbenone,CYP2A6,substrate,SuperCYP,80579
levoverbenone,CYP2B6,substrate,SuperCYP,80579
liarozole,CYP17,inhibitor,KEGG,D03781
licofelone,CYP2C8,"substrate,inhibitor",DrugBank,DB04725
licofelone,CYP2C9,substrate,DrugBank,DB04725
licofelone,CYP2J2,substrate,DrugBank,DB04725
lidocain,CYP1A2,inhibitor,SuperCYP,137586
lidocain,CYP1A2,substrate,SuperCYP,137586
lidocain,CYP2A6,substrate,SuperCYP,137586
lidocain,CYP2B6,substrate,SuperCYP,137586
lidocain,CYP2C9,substrate,SuperCYP,137586
lidocain,CYP2C18,substrate,SuperCYP,137586
lidocain,CYP2D6,inhibitor,SuperCYP,137586
lidocain,CYP2D6,substrate,SuperCYP,137586
lidocain,CYP3A4,substrate,SuperCYP,137586
lidocain,CYP3A4,inhibitor,SuperCYP,137586
lidocain,CYP3A5,substrate,SuperCYP,137586
lidocain,CYP3A7,substrate,SuperCYP,137586
lidocain,CYP2C8,substrate,SuperCYP,137586
lidocaine,CYP2C8,substrate,DrugBank,DB00281
lidocaine,CYP1A2,"substrate,inhibitor",DrugBank,DB00281
lidocaine,CYP2A6,substrate,DrugBank,DB00281
lidocaine,CYP2B6,substrate,DrugBank,DB00281
lidocaine,CYP2C9,substrate,DrugBank,DB00281
lidocaine,CYP2C18,substrate,DrugBank,DB00281
lidocaine,CYP2D6,"substrate,inhibitor",DrugBank,DB00281
lidocaine,CYP2D6,substrate,Indiana University,
lidocaine,CYP2D6,substrate,ildcare,
lidocaine,CYP3A7,substrate,DrugBank,DB00281
lidocaine,CYP3A5,substrate,DrugBank,DB00281
lidocaine,CYP3A4,"substrate,inhibitor",DrugBank,DB00281
lidocaine,CYP3A4,substrate,Indiana University,
lidocaine,CYP3A5,substrate,Indiana University,
lidocaine,CYP3A7,substrate,Indiana University,
lidocaine,CYP3A4,substrate,ildcare,
lidocaine,CYP1A2,inhibitor,SuperCYP,137586
lidocaine,CYP1A2,substrate,SuperCYP,137586
lidocaine,CYP2A6,substrate,SuperCYP,137586
lidocaine,CYP2B6,substrate,SuperCYP,137586
lidocaine,CYP2C9,substrate,SuperCYP,137586
lidocaine,CYP2C18,substrate,SuperCYP,137586
lidocaine,CYP2D6,inhibitor,SuperCYP,137586
lidocaine,CYP2D6,substrate,SuperCYP,137586
lidocaine,CYP3A4,substrate,SuperCYP,137586
lidocaine,CYP3A4,inhibitor,SuperCYP,137586
lidocaine,CYP3A5,substrate,SuperCYP,137586
lidocaine,CYP3A7,substrate,SuperCYP,137586
lidocaine,CYP1A2,substrate,KEGG,D00358
lidocaine,CYP2D6,substrate,KEGG,D00358
lidocaine,CYP2C8,substrate,SuperCYP,137586
linagliptin,CYP3A4,inhibitor,DrugBank,DB08882
linagliptin,CYP3A,inhibitor,KEGG,D09566
lindane,CYP1A1,inducer,SuperCYP,58899
linopirdine,CYP3A4,substrate,SuperCYP,105431729
linopirdine,CYP3A5,substrate,SuperCYP,105431729
linopirdine,CYP3A7,substrate,SuperCYP,105431729
liothyronine,SLCO1B1,substrate,transporter,
liothyronine,SLC01B1,substrate,transporter,
liothyronine,SLC01B3,substrate,transporter,
liothyronine,SLC22A8,inhibitor,transporter,
liotrix,CYP2C8,inhibitor,DrugBank,DB01583
liotrix,SLCO1B1,substrate,transporter,
liotrix,SLC01B1,substrate,transporter,
liotrix,SLC01B3,substrate,transporter,
liotrix,SLC22A8,inhibitor,transporter,
lisurid,CYP2D6,substrate,SuperCYP,18016803
lisurid,CYP3A4,substrate,SuperCYP,18016803
lisuride,CYP2D6,substrate,DrugBank,DB00589
lisuride,CYP3A4,substrate,DrugBank,DB00589
lisuride,CYP2D6,substrate,SuperCYP,18016803
lisuride,CYP3A4,substrate,SuperCYP,18016803
lofepramine,CYP2D6,substrate,SuperCYP,23047258
lomefloxacin,CYP1A2,"substrate,inhibitor",DrugBank,DB00978
lomefloxacin,CYP1A2,inhibitor,SuperCYP,98079517
lomefloxacin,CYP1A2,substrate,SuperCYP,98079517
lomitapide,CYP3A4,substrate,DrugBank,DB08827
lomustine,CYP2D6,"substrate,inhibitor",DrugBank,DB01206
lomustine,CYP3A4,inhibitor,DrugBank,DB01206
lomustine,CYP2D6,inhibitor,SuperCYP,13010474
lomustine,CYP2D6,substrate,SuperCYP,13010474
lomustine,CYP3A4,inhibitor,SuperCYP,13010474
loperamide,CYP2C8,substrate,DrugBank,DB00836
loperamide,CYP2B6,substrate,DrugBank,DB00836
loperamide,CYP2D6,substrate,DrugBank,DB00836
loperamide,CYP3A4,substrate,DrugBank,DB00836
loperamide,CYP2B6,substrate,SuperCYP,53179116
loperamide,CYP2D6,substrate,SuperCYP,53179116
loperamide,CYP3A4,inhibitor,SuperCYP,53179116
loperamide,CYP3A4,substrate,SuperCYP,53179116
loperamide,CYP2C8,substrate,SuperCYP,53179116
lopinavir,CYP1A2,inhibitor,DrugBank,DB01601
lopinavir,CYP2C9,inhibitor,DrugBank,DB01601
lopinavir,CYP2C19,"inhibitor, inducer",DrugBank,DB01601
lopinavir,CYP2D6,inhibitor,DrugBank,DB01601
lopinavir,CYP3A4,"substrate,inhibitor",DrugBank,DB01601
lopinavir,CYP3A4,substrate,ildcare,
lopinavir,CYP1A2,inhibitor,SuperCYP,192725170
lopinavir,CYP2B6,inhibitor,SuperCYP,192725170
lopinavir,CYP2C9,inhibitor,SuperCYP,192725170
lopinavir,CYP2C19,inhibitor,SuperCYP,192725170
lopinavir,CYP2D6,inhibitor,SuperCYP,192725170
lopinavir,CYP3A4,substrate,SuperCYP,192725170
lopinavir,CYP3A4,inhibitor,SuperCYP,192725170
lopinavir,CYP2D6,inhibitor,KEGG,D01425
lopinavir,CYP3A,substrate,KEGG,D01425
lopinavir mixture with ritonavir,CYP3A,inhibitor,KEGG,D02498
loratadine,CYP2C8,"substrate,inhibitor",DrugBank,DB00455
loratadine,CYP2C9,"substrate,inhibitor",DrugBank,DB00455
loratadine,CYP2C19,"inhibitor, inducer",DrugBank,DB00455
loratadine,CYP2D6,"substrate,inhibitor, inducer",DrugBank,DB00455
loratadine,CYP3A4,"substrate,inhibitor, inducer",DrugBank,DB00455
loratadine,CYP3A4,substrate,ildcare,
loratadine,CYP2C9,inhibitor,SuperCYP,79794755
loratadine,CYP2C9,substrate,SuperCYP,79794755
loratadine,CYP2C19,inhibitor,SuperCYP,79794755
loratadine,CYP2C19,inducer,SuperCYP,79794755
loratadine,CYP2D6,inhibitor,SuperCYP,79794755
loratadine,CYP2D6,substrate,SuperCYP,79794755
loratadine,CYP2D6,inducer,SuperCYP,79794755
loratadine,CYP3A4,inhibitor,SuperCYP,79794755
loratadine,CYP3A4,substrate,SuperCYP,79794755
loratadine,CYP3A4,inducer,SuperCYP,79794755
loratadine,CYP2D6,substrate,KEGG,D00364
loratadine,CYP2C8,inhibitor,SuperCYP,79794755
lorcaserin,CYP1A1,substrate,DrugBank,DB04871
lorcaserin,CYP1A2,substrate,DrugBank,DB04871
lorcaserin,CYP2A6,substrate,DrugBank,DB04871
lorcaserin,CYP2C19,substrate,DrugBank,DB04871
lorcaserin,CYP2D6,substrate,DrugBank,DB04871
lorcaserin,CYP3A4,substrate,DrugBank,DB04871
lorcaserin,CYP2D6,inhibitor,KEGG,D06613
lornoxicam,CYP2C9,"substrate,inhibitor",DrugBank,DB06725
lornoxicam,CYP2C9,substrate,Indiana University,
lornoxicam,CYP2C9,inhibitor,SuperCYP,70374399
lornoxicam,CYP2C9,substrate,SuperCYP,70374399
lornoxicam,CYP2C9,substrate,KEGG,D01866
losartan,CYP2C8,"substrate,inhibitor",DrugBank,DB00678
losartan,CYP1A2,inhibitor,DrugBank,DB00678
losartan,CYP2C9,"substrate,inhibitor",DrugBank,DB00678
losartan,CYP2C9,substrate,Indiana University,
losartan,CYP2C9,substrate,ildcare,
losartan,CYP2C19,inhibitor,DrugBank,DB00678
losartan,CYP3A5,substrate,DrugBank,DB00678
losartan,CYP3A4,"substrate,inhibitor",DrugBank,DB00678
losartan,CYP3A4,substrate,ildcare,
losartan,SLC22A6,inhibitor,transporter,
losartan,CYP1A2,inhibitor,SuperCYP,114798264
losartan,CYP2C9,inhibitor,SuperCYP,114798264
losartan,CYP2C9,substrate,SuperCYP,114798264
losartan,CYP2C19,inhibitor,SuperCYP,114798264
losartan,CYP3A4,substrate,SuperCYP,114798264
losartan,CYP3A4,inhibitor,SuperCYP,114798264
losartan,CYP3A5,substrate,SuperCYP,114798264
losartan,CYP2C9,substrate,KEGG,D08146
losartan,CYP2C8,inhibitor,SuperCYP,114798264
losartan,CYP2C8,substrate,SuperCYP,114798264
losartan potassium and hydrochlorothiazide tablets,CYP2C9,substrate,KEGG,D07895
lovastatin,CYP2C8,inhibitor,DrugBank,DB00227
lovastatin,CYP2C9,"inhibitor, inducer",DrugBank,DB00227
lovastatin,CYP2C9,inhibitor,Indiana University,
lovastatin,CYP2C9,Inhibitor,ildcare,
lovastatin,CYP2C19,inhibitor,DrugBank,DB00227
lovastatin,CYP2D6,inhibitor,DrugBank,DB00227
lovastatin,CYP3A7,substrate,DrugBank,DB00227
lovastatin,CYP3A5,substrate,DrugBank,DB00227
lovastatin,CYP3A4,"substrate,inhibitor",DrugBank,DB00227
lovastatin,CYP3A4,substrate,Indiana University,
lovastatin,CYP3A5,substrate,Indiana University,
lovastatin,CYP3A7,substrate,Indiana University,
lovastatin,CYP3A4,substrate,ildcare,
lovastatin,SLCO1B1,inhibitor,transporter,
lovastatin,SLC01B1,inhibitor,transporter,
lovastatin,CYP2C9,inhibitor,SuperCYP,75330755
lovastatin,CYP2C9,inducer,SuperCYP,75330755
lovastatin,CYP2D6,inhibitor,SuperCYP,75330755
lovastatin,CYP3A4,inhibitor,SuperCYP,75330755
lovastatin,CYP3A4,substrate,SuperCYP,75330755
lovastatin,CYP3A5,substrate,SuperCYP,75330755
lovastatin,CYP3A7,substrate,SuperCYP,75330755
lovastatin,CYP4F22,inducer,SuperCYP,75330755
lovastatin,CYP2C9,inhibitor,KEGG,D00359
lovastatin,CYP3A5,substrate,KEGG,D00359
lovastatin,CYP3A7,substrate,KEGG,D00359
lovastatin,CYP3A,substrate,KEGG,D00359
lovastatin,CYP2C8,inhibitor,SuperCYP,75330755
luliconazole,CYP2C19,inhibitor,DrugBank,DB08933
luliconazole,CYP3A4,inhibitor,DrugBank,DB08933
lumacaftor,CYP2C8,"inhibitor, inducer",DrugBank,DB09280
lumacaftor,CYP2C9,"inhibitor, inducer",DrugBank,DB09280
lumacaftor,CYP2C19,inducer,DrugBank,DB09280
lumefantrine,CYP2D6,inhibitor,DrugBank,DB06708
lumefantrine,CYP3A4,substrate,DrugBank,DB06708
lumiracoxib,CYP1A2,substrate,DrugBank,DB01283
lumiracoxib,CYP2C9,substrate,DrugBank,DB01283
lumiracoxib,CYP2C19,substrate,DrugBank,DB01283
lumiracoxib,CYP1A2,substrate,SuperCYP,220991208
lumiracoxib,CYP2C9,substrate,SuperCYP,220991208
lumiracoxib,CYP2C19,substrate,SuperCYP,220991208
lurasidone,CYP3A4,substrate,DrugBank,DB08815
lurasidone,CYP3A,inhibitor,KEGG,D04820
lurasidone,CYP3A,substrate,KEGG,D04820
lynestrenol,CYP2C9,inducer,SuperCYP,52766
lynestrenol,CYP2C19,inducer,SuperCYP,52766
lynestrenol,CYP2C19,substrate,SuperCYP,52766
lynestrenol,CYP3A4,substrate,SuperCYP,52766
macitentan,CYP2C19,substrate,DrugBank,DB08932
macitentan,CYP3A4,substrate,DrugBank,DB08932
malathion,CYP1A2,substrate,DrugBank,DB00772
malathion,CYP2B6,substrate,DrugBank,DB00772
malathion,CYP1A2,substrate,SuperCYP,121755
malathion,CYP2B6,substrate,SuperCYP,121755
manidipine,CYP2C9,inhibitor,SuperCYP,89226506
manidipine,CYP2D6,inhibitor,SuperCYP,89226506
manidipine,CYP3A4,inhibitor,SuperCYP,89226506
maprotiline,CYP1A2,substrate,DrugBank,DB00934
maprotiline,CYP2D6,substrate,DrugBank,DB00934
maprotiline,CYP2D6,substrate,ildcare,
maprotiline,CYP1A2,substrate,SuperCYP,10262698
maprotiline,CYP2D6,substrate,SuperCYP,10262698
maprotiline,CYP2D6,substrate,KEGG,D02566
maraviroc,CYP3A4,substrate,DrugBank,DB04835
maraviroc,CYP3A,inhibitor,KEGG,D06670
maraviroc,CYP3A,substrate,KEGG,D06670
masoprocol,CYP2J2,inhibitor,DrugBank,DB00179
masoprocol,CYP2J2,inhibitor,SuperCYP,27686846
mebendazole,CYP1A1,inducer,DrugBank,DB00643
mebendazole,CYP3A4,substrate,DrugBank,DB00643
mebendazole,CYP1A1,inducer,SuperCYP,31431397
mebendazole,CYP3A4,substrate,SuperCYP,31431397
mecamylamine,CYP1A1,inducer,SuperCYP,60402
meclizine,CYP1A2,inhibitor,DrugBank,DB00737
meclofenamic acid,SLC22A6,inhibitor,transporter,
meclozin,CYP1A2,inhibitor,SuperCYP,569653
meclozine,CYP1A2,inhibitor,SuperCYP,569653
medazepam,CYP2C19,substrate,SuperCYP,2898126
medazepam,CYP2E1,inhibitor,SuperCYP,2898126
medazepam,CYP3A4,substrate,SuperCYP,2898126
medifoxamine,CYP2A6,substrate,SuperCYP,32359345
medifoxamine,CYP3A4,substrate,SuperCYP,32359345
medrogestone,CYP3A4,substrate,SuperCYP,977797
medroxyprogesterone,CYP2C8,inhibitor,DrugBank,DB00603
medroxyprogesterone,CYP2C9,inhibitor,DrugBank,DB00603
medroxyprogesterone,CYP3A4,"substrate, inducer",DrugBank,DB00603
medroxyprogesterone,CYP2C9,inhibitor,SuperCYP,520854
medroxyprogesterone,CYP3A4,inducer,SuperCYP,520854
medroxyprogesterone,CYP3A4,substrate,SuperCYP,520854
medroxyprogesterone,CYP2C8,inhibitor,SuperCYP,520854
medrysone,CYP1A2,inhibitor,SuperCYP,2668668
medrysone,CYP2C9,inhibitor,SuperCYP,2668668
medrysone,CYP2C19,inhibitor,SuperCYP,2668668
medrysone,CYP2D6,inhibitor,SuperCYP,2668668
medrysone,CYP2E1,inhibitor,SuperCYP,2668668
medrysone,CYP3A4,inhibitor,SuperCYP,2668668
mefenamic acid,CYP2C8,"substrate,inhibitor",DrugBank,DB00784
mefenamic acid,CYP2C9,"substrate,inhibitor",DrugBank,DB00784
mefenamic acid,CYP2C9,substrate,ildcare,
mefenamic acid,CYP2C9,inhibitor,SuperCYP,61687
mefenamic acid,CYP2C9,substrate,SuperCYP,61687
mefenamic acid,CYP2C9,substrate,KEGG,D00151
mefenamic acid,CYP2C8,substrate,SuperCYP,61687
mefenamic acid,CYP2C8,inhibitor,SuperCYP,61687
mefloquine,CYP2D6,inhibitor,DrugBank,DB00358
mefloquine,CYP3A4,"substrate,inhibitor",DrugBank,DB00358
mefloquine,CYP2D6,inhibitor,SuperCYP,53230107
mefloquine,CYP3A4,substrate,SuperCYP,53230107
mefloquine,CYP3A4,inhibitor,SuperCYP,53230107
mefloquine,CYP19A,inhibitor,SuperCYP,53230107
mefloquine,CYP3A,substrate,KEGG,D00831
meglutol,CYP51A,inhibitor,SuperCYP,503491
melatonin,CYP1A1,"substrate,inhibitor",DrugBank,DB01065
melatonin,CYP1A2,"substrate,inhibitor",DrugBank,DB01065
melatonin,CYP2C9,substrate,DrugBank,DB01065
melatonin,CYP2C19,substrate,DrugBank,DB01065
melatonin,SLC22A8,inhibitor,transporter,
melatonin,CYP1A1,substrate,SuperCYP,73314
melatonin,CYP1A2,substrate,SuperCYP,73314
melatonin,CYP1B1,substrate,SuperCYP,73314
melatonin,CYP2C19,substrate,SuperCYP,73314
melatonin,CYP19A,inhibitor,SuperCYP,73314
melatonin,CYP1A2,substrate,KEGG,D08170
meloxicam,CYP2C8,"substrate,inhibitor",DrugBank,DB00814
meloxicam,CYP2C9,"substrate,inhibitor",DrugBank,DB00814
meloxicam,CYP2C9,substrate,Indiana University,
meloxicam,CYP2C9,substrate,ildcare,
meloxicam,CYP3A4,substrate,DrugBank,DB00814
meloxicam,CYP2C9,inhibitor,SuperCYP,71125387
meloxicam,CYP2C9,substrate,SuperCYP,71125387
meloxicam,CYP3A4,substrate,SuperCYP,71125387
meloxicam,CYP2C9,substrate,KEGG,D00969
meloxicam,CYP2C8,inhibitor,SuperCYP,71125387
meloxicam,CYP2C8,substrate,SuperCYP,71125387
melperone,CYP2D6,inhibitor,SuperCYP,3575802
memantine,CYP2A6,inhibitor,DrugBank,DB01043
memantine,CYP2B6,inhibitor,DrugBank,DB01043
memantine,CYP2C19,inhibitor,DrugBank,DB01043
memantine,SLC22A2,substrate,transporter,
memantine,CYP2A6,inhibitor,SuperCYP,19982082
memantine,CYP2B6,inhibitor,SuperCYP,19982082
memantine,CYP2C19,inhibitor,SuperCYP,19982082
memantine,CYP2D6,inhibitor,SuperCYP,19982082
menadione,CYP1A1,"substrate, inducer",DrugBank,DB00170
menadione,CYP1A2,"substrate, inducer",DrugBank,DB00170
menadione,CYP2A6,inhibitor,DrugBank,DB00170
menadione,CYP2E1,substrate,DrugBank,DB00170
menadione,CYP1A1,substrate,SuperCYP,58275
menadione,CYP1A2,substrate,SuperCYP,58275
menadione,CYP2A6,inhibitor,SuperCYP,58275
menadione,CYP2E1,substrate,SuperCYP,58275
mepacrine,CYP3A4,substrate,SuperCYP,83896
mepacrine,CYP3A5,substrate,SuperCYP,83896
meperidine,CYP2B6,substrate,Indiana University,
meperidine,CYP2D6,substrate,ildcare,
mephenytoin,CYP2C8,substrate,DrugBank,DB00532
mephenytoin,CYP1A2,substrate,DrugBank,DB00532
mephenytoin,CYP2B6,substrate,DrugBank,DB00532
mephenytoin,CYP2C9,substrate,DrugBank,DB00532
mephenytoin,CYP2C19,"substrate,inhibitor",DrugBank,DB00532
mephenytoin,CYP2D6,substrate,DrugBank,DB00532
mephenytoin,CYP2C9,substrate,SuperCYP,50124
mephenytoin,CYP2C18,substrate,SuperCYP,50124
mephenytoin,CYP2C19,inhibitor,SuperCYP,50124
mephenytoin,CYP2C19,substrate,SuperCYP,50124
mephenytoin,CYP2D6,substrate,SuperCYP,50124
mephenytoin,CYP3A4,substrate,SuperCYP,50124
mephenytoin,CYP3A5,substrate,SuperCYP,50124
mephenytoin,CYP2C19,substrate,KEGG,D00375
mephenytoin,CYP2C8,substrate,SuperCYP,50124
mephobarbital,CYP2C19,substrate,Indiana University,
mephobarbital,CYP2C19,substrate,ildcare,
mephobarbital,CYP2C19,substrate,KEGG,D00700
meprobamate,CYP2C19,substrate,DrugBank,DB00371
meprobamate,CYP2E1,substrate,DrugBank,DB00371
meprobamate,CYP2C19,substrate,SuperCYP,57534
meprobamate,CYP2E1,substrate,SuperCYP,57534
mepyramine,CYP2D6,inhibitor,DrugBank,DB06691
mepyramine,CYP2D6,inhibitor,SuperCYP,91849
mequitazine,CYP2D6,substrate,DrugBank,DB01071
mequitazine,CYP3A4,inhibitor,DrugBank,DB01071
mequitazine,CYP2D6,substrate,SuperCYP,29216282
mequitazine,CYP3A4,inhibitor,SuperCYP,29216282
mequitazine,CYP2D6,substrate,KEGG,D01324
mercaptopurine,SLC22A8,"substrate,inhibitor",transporter,
mercaptopurine,CYP1A1,substrate,SuperCYP,50442
"mercury, metallic",CYP1A1,inducer,SuperCYP,7439976
"mercury, metallic",CYP4A11,inhibitor,SuperCYP,7439976
mesoridazine,CYP2D6,substrate,DrugBank,DB00933
mesoridazine,CYP2D6,substrate,SuperCYP,5588330
mestranol,CYP2C9,substrate,DrugBank,DB01357
mesuximide,CYP2C19,inhibitor,SuperCYP,77418
mesuximide,CYP2C19,substrate,SuperCYP,77418
metamfetamine,CYP2D6,inhibitor,SuperCYP,537462
metamfetamine,CYP2D6,substrate,SuperCYP,537462
metamizole,CYP3A4,inducer,DrugBank,DB04817
metamizole,CYP2B6,inducer,SuperCYP,68893
metamizole,CYP3A4,inducer,SuperCYP,68893
metandienone,CYP3A4,substrate,SuperCYP,72639
metformin,SLC47A1,inhibitor,transporter,
metformin,SLC22A2,"substrate,inhibitor",transporter,
metformin,CYP3A4,inhibitor,SuperCYP,657249
methadone,CYP2C8,substrate,DrugBank,DB00333
methadone,CYP1A2,substrate,DrugBank,DB00333
methadone,CYP2B6,substrate,DrugBank,DB00333
methadone,CYP2B6,substrate,Indiana University,
methadone,CYP2C9,substrate,DrugBank,DB00333
methadone,CYP2C18,substrate,DrugBank,DB00333
methadone,CYP2C19,substrate,DrugBank,DB00333
methadone,CYP2D6,"substrate,inhibitor",DrugBank,DB00333
methadone,CYP2D6,inhibitor,Indiana University,
methadone,CYP2D6,substrate,ildcare,
methadone,CYP2D6,Inhibitor,ildcare,
methadone,CYP3A7,substrate,DrugBank,DB00333
methadone,CYP3A5,substrate,DrugBank,DB00333
methadone,CYP3A4,"substrate,inhibitor, inducer",DrugBank,DB00333
methadone,CYP3A4,substrate,Indiana University,
methadone,CYP3A5,substrate,Indiana University,
methadone,CYP3A7,substrate,Indiana University,
methadone,CYP3A4,substrate,ildcare,
methadone,CYP1A2,substrate,SuperCYP,76993
methadone,CYP2B6,substrate,SuperCYP,76993
methadone,CYP2C9,substrate,SuperCYP,76993
methadone,CYP2C18,substrate,SuperCYP,76993
methadone,CYP2C19,substrate,SuperCYP,76993
methadone,CYP2D6,inhibitor,SuperCYP,76993
methadone,CYP2D6,substrate,SuperCYP,76993
methadone,CYP3A4,substrate,SuperCYP,76993
methadone,CYP3A4,inhibitor,SuperCYP,76993
methadone,CYP3A4,inducer,SuperCYP,76993
methadone,CYP3A5,substrate,SuperCYP,76993
methadone,CYP3A7,substrate,SuperCYP,76993
methadone,CYP19A,substrate,SuperCYP,76993
methadone,CYP2B6,substrate,KEGG,D08195
methadone,CYP2D6,inhibitor,KEGG,D08195
methadone,CYP2C8,substrate,SuperCYP,76993
methamphetamine,CYP2D6,"substrate,inhibitor",DrugBank,DB01577
methamphetamine,CYP2D6,substrate,ildcare,
methaqualone,CYP3A4,substrate,DrugBank,DB04833
methaqualone,CYP3A4,substrate,SuperCYP,72446
metharbital,CYP1B1,inducer,SuperCYP,50113
methazolamide,CYP2C9,inhibitor,DrugBank,DB00703
methazolamide,CYP2C19,inhibitor,DrugBank,DB00703
methazolamide,CYP2D6,inhibitor,DrugBank,DB00703
methazolamide,CYP2E1,inhibitor,DrugBank,DB00703
methazolamide,CYP3A4,inhibitor,DrugBank,DB00703
methazolamide,SLC22A6,inhibitor,transporter,
methazolamide,CYP2C9,inhibitor,SuperCYP,554574
methazolamide,CYP2C19,inhibitor,SuperCYP,554574
methazolamide,CYP2D6,inhibitor,SuperCYP,554574
methazolamide,CYP2E1,inhibitor,SuperCYP,554574
methazolamide,CYP3A4,inhibitor,SuperCYP,554574
methimazole,CYP1A2,inhibitor,DrugBank,DB00763
methimazole,CYP2A6,inhibitor,DrugBank,DB00763
methimazole,CYP2B6,inhibitor,DrugBank,DB00763
methimazole,CYP2C9,inhibitor,DrugBank,DB00763
methimazole,CYP2C19,inhibitor,DrugBank,DB00763
methimazole,CYP2D6,inhibitor,DrugBank,DB00763
methimazole,CYP2E1,inhibitor,DrugBank,DB00763
methimazole,CYP3A4,inhibitor,DrugBank,DB00763
methotrexate,SLCO1B1,substrate,transporter,
methotrexate,ABCG2,substrate,transporter,
methotrexate,SLC01B1,substrate,transporter,
methotrexate,SLC01B3,substrate,transporter,
methotrexate,SLC22A6,"substrate,inhibitor",transporter,
methotrexate,SLC22A8,"substrate,inhibitor",transporter,
methotrimeprazine,CYP1A2,inhibitor,DrugBank,DB01403
methotrimeprazine,CYP2D6,"substrate,inhibitor",DrugBank,DB01403
methotrimeprazine,CYP2E1,inhibitor,DrugBank,DB01403
methotrimeprazine,CYP2D6,inhibitor,KEGG,D00403
methotrimeprazine,CYP2D6,substrate,KEGG,D00403
methoxsalen,CYP1A1,inhibitor,DrugBank,DB00553
methoxsalen,CYP1A2,inhibitor,DrugBank,DB00553
methoxsalen,CYP1A2,inhibitor,Indiana University,
methoxsalen,CYP1A2,Inhibitor,ildcare,
methoxsalen,CYP2A6,"substrate,inhibitor",DrugBank,DB00553
methoxsalen,CYP2A13,inhibitor,DrugBank,DB00553
methoxsalen,CYP3A4,substrate,DrugBank,DB00553
methoxsalen,CYP1A1,inhibitor,SuperCYP,298817
methoxsalen,CYP1A2,inhibitor,SuperCYP,298817
methoxsalen,CYP2A6,inhibitor,SuperCYP,298817
methoxsalen,CYP2A6,substrate,SuperCYP,298817
methoxsalen,CYP2A13,inhibitor,SuperCYP,298817
methoxsalen,CYP3A4,substrate,SuperCYP,298817
methoxsalen,CYP1A1,substrate,KEGG,D00139
methoxsalen,CYP1A2,inhibitor,KEGG,D00139
methoxsalen,CYP1A2,substrate,KEGG,D00139
methoxsalen,CYP2A6,inhibitor,KEGG,D00139
methoxsalen,CYP2A6,substrate,KEGG,D00139
methoxyamphetamine,CYP2D6,substrate,Indiana University,
methoxyamphetamine,CYP2D6,substrate,ildcare,
methoxyflurane,CYP1A2,substrate,DrugBank,DB01028
methoxyflurane,CYP2A6,substrate,DrugBank,DB01028
methoxyflurane,CYP2B6,substrate,DrugBank,DB01028
methoxyflurane,CYP2C9,substrate,DrugBank,DB01028
methoxyflurane,CYP2D6,substrate,DrugBank,DB01028
methoxyflurane,CYP2E1,substrate,DrugBank,DB01028
methoxyflurane,CYP2E1,substrate,Indiana University,
methoxyflurane,CYP3A4,substrate,DrugBank,DB01028
methoxyflurane,CYP1A2,substrate,SuperCYP,76380
methoxyflurane,CYP2A6,substrate,SuperCYP,76380
methoxyflurane,CYP2B6,substrate,SuperCYP,76380
methoxyflurane,CYP2C9,substrate,SuperCYP,76380
methoxyflurane,CYP2D6,substrate,SuperCYP,76380
methoxyflurane,CYP2E1,substrate,SuperCYP,76380
