Drug,Enzyme,Action,Database,Species,DrugID,Gene,Reference,Strength
Hydroxychloroquine,CYP2D6,inhibitor,DrugBank,Not Specified,DB01611,,,
Hydroxychloroquine,CYP2D6,inhibitor,KEGG, Not Specified,,,, Weak
hydroxychloroquine,CYP2D6,Inhibitor,ildcare,Not Specified,,,,
Hydroxychloroquine,CYP2D6,inhibitor,SuperCYP,human,,,,
Hydroxychloroquine,CYP2D6,inhibitor,KEGG, Not Specified,,,, Weak
Hydroxyprogesterone,CYP21A,substrate,SuperCYP,human,,,,
Hydroxyprogesterone,CYP21A,substrate,SuperCYP,human,,,,
Hydroxyurea,CYP2D6,inhibitor,DrugBank,Not Specified,DB01005,,,
Hydroxyzin,CYP2D6,inhibitor,SuperCYP,human,,,,
Hydroxyzin,CYP2D6,inhibitor,SuperCYP,human,,,,
Hydroxyzine,CYP2D6,inhibitor,DrugBank,Not Specified,DB00557,,,
hydroxyzine,CYP2D6,inhibitor,Indiana University,Not Specified,,,,
Hydroxyzine,CYP2D6,inhibitor,KEGG, Not Specified,,,, 
Hydroxyzine,CYP2D6,inhibitor,KEGG, Not Specified,,,, 
Hydroxyzine,CYP3A5,substrate,KEGG, Not Specified,,,, 
Hydroxyzine,CYP3A5,substrate,KEGG, Not Specified,,,, 
Hydroxyzine,CYP3A5,substrate,KEGG, Not Specified,,,, 
Hydroxyzine,CYP3A5,substrate,KEGG, Not Specified,,,, 
Hydroxyzine,CYP2D6,inhibitor,KEGG, Not Specified,,,, 
Hydroxyzine,CYP3A5,substrate,KEGG, Not Specified,,,, 
Hydroxyzine,CYP2D6,inhibitor,SuperCYP,human,,,,
Hydroxyzine,CYP2D6,inhibitor,SuperCYP,human,,,,
Hydroxyzine,CYP2D6,inhibitor,KEGG, Not Specified,,,, 
Hydroxyzine,CYP3A5,substrate,KEGG, Not Specified,,,, 
Hydroxyzine,CYP3A5,substrate,KEGG, Not Specified,,,, 
Hydroxyzine,CYP2D6,inhibitor,KEGG, Not Specified,,,, 
Hydroxyzine,CYP3A5,substrate,KEGG, Not Specified,,,, 
Hyperforin,SLCO1B1,inhibitor,Transporter,,,,,
Hyperforin,SLC01B1,inhibitor,Transporter,,,,,
Ibrutinib,CYP2D6,substrate,DrugBank,Not Specified,DB09053,,,
Ibrutinib,CYP3A5,substrate,DrugBank,Not Specified,DB09053,,,
Ibrutinib,CYP3A4,substrate,DrugBank,Not Specified,DB09053,,,
Ibrutinib,CYP3A4,substrate,DrugBank,Not Specified,DB09053,,,
Ibrutinib,CYP3A5,substrate,DrugBank,Not Specified,DB09053,,,
Ibuprofen,CYP2C8,substrate,DrugBank,Not Specified,DB01050,,,
Ibuprofen,CYP2C9,"substrate,inhibitor",DrugBank,Not Specified,DB01050,,,
ibuprofen,CYP2C9,substrate,Indiana University,Not Specified,,,,
Ibuprofen,CYP2C9,substrate,KEGG, Not Specified,,,, 
ibuprofen,CYP2C9,substrate,ildcare,Not Specified,,,,
Ibuprofen,CYP2C19,substrate,DrugBank,Not Specified,DB01050,,,
Ibuprofen,CYP2C9,substrate,KEGG, Not Specified,,,, 
Ibuprofen,SLC22A6,inhibitor,Transporter,,,,,
Ibuprofen,SLC22A8,inhibitor,Transporter,,,,,
Ibuprofen,CYP2C8,substrate,SuperCYP,human,,,,
Ibuprofen,CYP2C8,inhibitor,SuperCYP,,,,,
Ibuprofen,CYP2C8,substrate,SuperCYP,human,,,,
Ibuprofen,CYP2C9,inhibitor,SuperCYP,human,,,,
Ibuprofen,CYP2C9,substrate,SuperCYP,human,,,,
Ibuprofen,CYP2C9,inhibitor,SuperCYP,human,,,,
Ibuprofen,CYP2C9,substrate,SuperCYP,human,,,,
Ibuprofen,CYP2C19,substrate,SuperCYP,human,,,,
Ibuprofen,CYP2C19,substrate,SuperCYP,,,,,
Ibuprofen,CYP2C9,substrate,KEGG, Not Specified,,,, 
Ibuprofen,CYP2C9,substrate,KEGG, Not Specified,,,, 
Ibuprofen,CYP2C9,substrate,KEGG, Not Specified,,,, 
Ibuprofen,CYP2C9,substrate,KEGG, Not Specified,,,, 
Ibuprofen,CYP2C9,substrate,KEGG, Not Specified,,,, 
Ibuprofen,CYP2C9,substrate,KEGG, Not Specified,,,, 
Ibuprofen,CYP2C9,substrate,KEGG, Not Specified,,,, 
Idarubicin,CYP2C9,substrate,DrugBank,Not Specified,DB01177,,,
Idarubicin,CYP2D6,"substrate,inhibitor",DrugBank,Not Specified,DB01177,,,
Idarubicin,CYP2D6,"substrate,inhibitor",DrugBank,Not Specified,DB01177,,,
Idarubicin,CYP2C9,substrate,DrugBank,Not Specified,DB01177,,,
Idarubicin,CYP2C9,substrate,SuperCYP,human,,,,
Idarubicin,CYP2C9,substrate,SuperCYP,human,,,,
Idarubicin,CYP2D6,substrate,SuperCYP,human,,,,
Idarubicin,CYP2D6,inhibitor,SuperCYP,human,,,,
Idarubicin,CYP2D6,inhibitor,SuperCYP,human,,,,
Idarubicin,CYP2D6,substrate,SuperCYP,human,,,,
Idebenone,CYP1A2,substrate,SuperCYP,,,,,
Idelalisib,CYP2C8,inhibitor,DrugBank,Not Specified,DB09054,,,
Idelalisib,CYP2C19,inhibitor,DrugBank,Not Specified,DB09054,,,
Idelalisib,CYP3A4,inducer,DrugBank,Not Specified,DB09054,,,
Idelalisib,CYP3A4,inducer,DrugBank,Not Specified,DB09054,,,
Idelalisib,SLCO1B1,inhibitor,Transporter,,,,,
Idelalisib,ABCG2,substrate,Transporter,,,,,
Idelalisib,SLC01B1,inhibitor,Transporter,,,,,
Idelalisib,SLC01B3,inhibitor,Transporter,,,,,
Idrocilamide,CYP1A2,inhibitor,KEGG, Not Specified,,,, 
Ifosfamide,CYP2A6,substrate,DrugBank,Not Specified,DB01181,,,
Ifosfamide,CYP2B6,substrate,DrugBank,Not Specified,DB01181,,,
Ifosfamide,CYP2B6,substrate,KEGG, Not Specified,,,, 
Ifosfamide,CYP2C8,"substrate, inducer",DrugBank,Not Specified,DB01181,,,
Ifosfamide,CYP2C9,"substrate, inducer",DrugBank,Not Specified,DB01181,,,
Ifosfamide,CYP2C18,substrate,DrugBank,Not Specified,DB01181,,,
Ifosfamide,CYP2C19,substrate,DrugBank,Not Specified,DB01181,,,
Ifosfamide,CYP3A7,substrate,DrugBank,Not Specified,DB01181,,,
Ifosfamide,CYP3A5,substrate,DrugBank,Not Specified,DB01181,,,
Ifosfamide,CYP3A4,"substrate,inhibitor, inducer",DrugBank,Not Specified,DB01181,,,
ifosfamide,CYP3A4,substrate,ildcare,Not Specified,,,,
Ifosfamide,CYP3A4,"substrate,inhibitor, inducer",DrugBank,Not Specified,DB01181,,,
ifosfamide,CYP3A4,substrate,ildcare,Not Specified,,,,
Ifosfamide,CYP3A5,substrate,DrugBank,Not Specified,DB01181,,,
Ifosfamide,CYP3A7,substrate,DrugBank,Not Specified,DB01181,,,
Ifosfamide,CYP2A6,substrate,SuperCYP,human,,,,
Ifosfamide,CYP2A6,substrate,SuperCYP,,,,,
Ifosfamide,CYP2B6,substrate,SuperCYP,human,,,,
Ifosfamide,CYP2B6,substrate,SuperCYP,,,,,
Ifosfamide,CYP2C8,inducer,SuperCYP,human,,,,
Ifosfamide,CYP2C8,inducer,SuperCYP,,,,,
Ifosfamide,CYP2C8,substrate,SuperCYP,human,,,,
Ifosfamide,CYP2C8,substrate,SuperCYP,,,,,
Ifosfamide,CYP2C9,inducer,SuperCYP,human,,,,
Ifosfamide,CYP2C9,inducer,SuperCYP,,,,,
Ifosfamide,CYP2C9,substrate,SuperCYP,human,,,,
Ifosfamide,CYP2C18,substrate,SuperCYP,human,,,,
Ifosfamide,CYP2C19,substrate,SuperCYP,human,,,,
Ifosfamide,CYP2C19,substrate,SuperCYP,,,,,
Ifosfamide,CYP3A4,inhibitor,SuperCYP,human,,,,
Ifosfamide,CYP3A4,substrate,SuperCYP,human,,,,
Ifosfamide,CYP3A4,inducer,SuperCYP,human,,,,
Ifosfamide,CYP3A4,inhibitor,SuperCYP,,,,,
Ifosfamide,CYP3A4,substrate,SuperCYP,,,,,
Ifosfamide,CYP3A4,inducer,SuperCYP,human,,,,
Ifosfamide,CYP3A5,substrate,SuperCYP,human,,,,
Ifosfamide,CYP3A7,substrate,SuperCYP,human,,,,
Ifosfamide,CYP3A4,inhibitor,SuperCYP,human,,,,
Ifosfamide,CYP3A4,substrate,SuperCYP,human,,,,
Ifosfamide,CYP3A4,inducer,SuperCYP,human,,,,
Ifosfamide,CYP3A4,inhibitor,SuperCYP,,,,,
Ifosfamide,CYP3A4,substrate,SuperCYP,,,,,
Ifosfamide,CYP3A4,inducer,SuperCYP,human,,,,
Ifosfamide,CYP3A5,substrate,SuperCYP,human,,,,
Ifosfamide,CYP3A7,substrate,SuperCYP,human,,,,
ifosphamide,CYP2B6,substrate,Indiana University,Not Specified,,,,
Iloperidone,CYP1A2,substrate,DrugBank,Not Specified,DB04946,,,
Iloperidone,CYP2D6,substrate,DrugBank,Not Specified,DB04946,,,
Iloperidone,CYP2E1,substrate,DrugBank,Not Specified,DB04946,,,
Iloperidone,CYP3A7,substrate,DrugBank,Not Specified,DB04946,,,
Iloperidone,CYP3A5,substrate,DrugBank,Not Specified,DB04946,,,
Iloperidone,CYP3A4,substrate,DrugBank,Not Specified,DB04946,,,
Iloperidone,CYP3A4,substrate,DrugBank,Not Specified,DB04946,,,
Iloperidone,CYP3A5,substrate,DrugBank,Not Specified,DB04946,,,
Iloperidone,CYP3A7,substrate,DrugBank,Not Specified,DB04946,,,
Imatinib,CYP1A2,substrate,DrugBank,Not Specified,DB00619,,,
Imatinib,CYP2C9,"substrate,inhibitor",DrugBank,Not Specified,DB00619,,,
Imatinib,CYP2C9,substrate,KEGG, Not Specified,,,, 
imatinib,CYP2C9,Inhibitor,ildcare,Not Specified,,,,
Imatinib,CYP2C19,substrate,DrugBank,Not Specified,DB00619,,,
Imatinib,CYP2D6,"substrate,inhibitor",DrugBank,Not Specified,DB00619,,,
Imatinib,CYP2D6,inhibitor,KEGG, Not Specified,,,, Weak
Imatinib,CYP2D6,substrate,KEGG, Not Specified,,,, 
imatinib,CYP2D6,Inhibitor,ildcare,Not Specified,,,,
Imatinib,CYP3A7,"substrate,inhibitor",DrugBank,Not Specified,DB00619,,,
Imatinib,CYP3A5,"substrate,inhibitor",DrugBank,Not Specified,DB00619,,,
Imatinib,CYP3A4,"substrate,inhibitor",DrugBank,Not Specified,DB00619,,,
imatinib,CYP3A4,inhibitor,Indiana University,Not Specified,,,,
imatinib,CYP3A5,inhibitor,Indiana University,Not Specified,,,,
imatinib,CYP3A7,inhibitor,Indiana University,Not Specified,,,,
Imatinib,CYP3A,inhibitor,KEGG, Not Specified,,,, Moderate
Imatinib,CYP3A5,substrate,KEGG, Not Specified,,,, 
imatinib,CYP3A4,substrate,ildcare,Not Specified,,,,
imatinib,CYP3A4,inhibitor,ildcare,Not Specified,,,,
Imatinib,CYP3A4,"substrate,inhibitor",DrugBank,Not Specified,DB00619,,,
imatinib,CYP3A4,inhibitor,Indiana University,Not Specified,,,,
imatinib,CYP3A4,substrate,ildcare,Not Specified,,,,
imatinib,CYP3A4,inhibitor,ildcare,Not Specified,,,,
Imatinib,CYP3A5,"substrate,inhibitor",DrugBank,Not Specified,DB00619,,,
imatinib,CYP3A5,inhibitor,Indiana University,Not Specified,,,,
Imatinib,CYP3A5,substrate,KEGG, Not Specified,,,, 
Imatinib,CYP3A7,"substrate,inhibitor",DrugBank,Not Specified,DB00619,,,
imatinib,CYP3A7,inhibitor,Indiana University,Not Specified,,,,
Imatinib,ABCG2,"substrate,inhibitor",Transporter,,,,,
Imatinib,SLC22A2,inhibitor,Transporter,,,,,
Imatinib,CYP1A2,substrate,SuperCYP,,,,,
Imatinib,CYP2C8,substrate,SuperCYP,,,,,
Imatinib,CYP2C8,inhibitor,SuperCYP,,,,,
Imatinib,CYP2C9,inhibitor,SuperCYP,,,,,
Imatinib,CYP2C9,substrate,SuperCYP,,,,,
Imatinib,CYP2C19,substrate,SuperCYP,,,,,
Imatinib,CYP2D6,inhibitor,SuperCYP,,,,,
Imatinib,CYP2D6,substrate,SuperCYP,,,,,
Imatinib,CYP3A4,substrate,SuperCYP,human,,,,
Imatinib,CYP3A4,inhibitor,SuperCYP,human,,,,
Imatinib,CYP3A4,inhibitor,SuperCYP,,,,,
Imatinib,CYP3A4,inhibitor,SuperCYP,human,,,,
Imatinib,CYP3A4,substrate,SuperCYP,,,,,
Imatinib,CYP3A4,substrate,SuperCYP,human,,,,
Imatinib,CYP3A5,substrate,SuperCYP,human,,,,
Imatinib,CYP3A5,inhibitor,SuperCYP,human,,,,
Imatinib,CYP3A5,inhibitor,SuperCYP,human,,,,
Imatinib,CYP3A5,substrate,SuperCYP,,,,,
Imatinib,CYP3A5,substrate,SuperCYP,human,,,,
Imatinib,CYP3A7,substrate,SuperCYP,,,,,
Imatinib,CYP3A4,substrate,SuperCYP,human,,,,
Imatinib,CYP3A4,inhibitor,SuperCYP,human,,,,
Imatinib,CYP3A4,inhibitor,SuperCYP,,,,,
Imatinib,CYP3A4,inhibitor,SuperCYP,human,,,,
Imatinib,CYP3A4,substrate,SuperCYP,,,,,
Imatinib,CYP3A4,substrate,SuperCYP,human,,,,
Imatinib,CYP3A5,substrate,SuperCYP,human,,,,
Imatinib,CYP3A5,inhibitor,SuperCYP,human,,,,
Imatinib,CYP3A5,inhibitor,SuperCYP,human,,,,
Imatinib,CYP3A5,substrate,SuperCYP,,,,,
Imatinib,CYP3A5,substrate,SuperCYP,human,,,,
Imatinib,CYP3A7,substrate,SuperCYP,,,,,
Imatinib,CYP2C9,substrate,KEGG, Not Specified,,,, 
Imatinib,CYP2D6,inhibitor,KEGG, Not Specified,,,, Weak
Imatinib,CYP2D6,substrate,KEGG, Not Specified,,,, 
Imatinib,CYP3A,inhibitor,KEGG, Not Specified,,,, Moderate
Imatinib,CYP3A5,substrate,KEGG, Not Specified,,,, 
Imatinib,CYP3A5,substrate,KEGG, Not Specified,,,, 
Imipramine,CYP1A2,"substrate,inhibitor",DrugBank,Not Specified,DB00458,,,
Imipramine,CYP1A2,substrate,KEGG, Not Specified,,,, 
imipramine,CYP1A2,substrate,ildcare,Not Specified,,,,
Imipramine,CYP2B6,substrate,DrugBank,Not Specified,DB00458,,,
Imipramine,CYP2B6,substrate,DrugBank,Not Specified,DB00458,,,
imipramine,CYP2C9,substrate,ildcare,Not Specified,,,,
Imipramine,CYP2C18,substrate,DrugBank,Not Specified,DB00458,,,
Imipramine,CYP2C19,"substrate,inhibitor",DrugBank,Not Specified,DB00458,,,
imipramine,CYP2C19,substrate,Indiana University,Not Specified,,,,
Imipramine,CYP2C19,substrate,KEGG, Not Specified,,,, 
Imipramine,CYP2C19,substrate,KEGG, Not Specified,,,, 
imipramine,CYP2C19,substrate,ildcare,Not Specified,,,,
Imipramine,CYP2D6,"substrate,inhibitor",DrugBank,Not Specified,DB00458,,,
imipramine,CYP2D6,substrate,Indiana University,Not Specified,,,,
Imipramine,CYP2D6,substrate,KEGG, Not Specified,,,, 
Imipramine,CYP2D6,substrate,KEGG, Not Specified,,,, 
imipramine,CYP2D6,substrate,ildcare,Not Specified,,,,
Imipramine,CYP2E1,inhibitor,DrugBank,Not Specified,DB00458,,,
Imipramine,CYP3A7,substrate,DrugBank,Not Specified,DB00458,,,
Imipramine,CYP3A4,substrate,DrugBank,Not Specified,DB00458,,,
imipramine,CYP3A4,substrate,ildcare,Not Specified,,,,
Imipramine,CYP3A4,substrate,DrugBank,Not Specified,DB00458,,,
imipramine,CYP3A4,substrate,ildcare,Not Specified,,,,
Imipramine,CYP3A7,substrate,DrugBank,Not Specified,DB00458,,,
Imipramine,CYP1A2,substrate,KEGG, Not Specified,,,, 
Imipramine,CYP2C19,substrate,KEGG, Not Specified,,,, 
Imipramine,CYP2D6,substrate,KEGG, Not Specified,,,, 
Imipramine,SLC22A2,inhibitor,Transporter,,,,,
Imipramine,CYP1A2,inhibitor,SuperCYP,human,,,,
Imipramine,CYP1A2,substrate,SuperCYP,human,,,,
Imipramine,CYP1A2,substrate,SuperCYP,human,,,,
Imipramine,CYP2B6,substrate,SuperCYP,human,,,,
Imipramine,CYP2C18,substrate,SuperCYP,human,,,,
Imipramine,CYP2C19,substrate,SuperCYP,human,,,,
Imipramine,CYP2C19,substrate,SuperCYP,human,,,,
Imipramine,CYP2C19,inhibitor,SuperCYP,human,,,,
Imipramine,CYP2D6,inhibitor,SuperCYP,human,,,,
Imipramine,CYP2D6,substrate,SuperCYP,human,,,,
Imipramine,CYP2D6,inhibitor,SuperCYP,rat,,,,
Imipramine,CYP2D6,substrate,SuperCYP,human,,,,
Imipramine,CYP2E1,inhibitor,SuperCYP,human,,,,
Imipramine,CYP3A4,substrate,SuperCYP,human,,,,
Imipramine,CYP3A7,substrate,SuperCYP,human,,,,
Imipramine,CYP3A4,substrate,SuperCYP,human,,,,
Imipramine,CYP3A7,substrate,SuperCYP,human,,,,
Imipramine,CYP1A2,substrate,Indiana University,Not Specified,,,,
Imipramine,CYP1A2,substrate,SuperCYP,human,,,,
Imipramine,CYP3A4,substrate,SuperCYP,human,,,,
Imipramine,CYP3A4,substrate,SuperCYP,human,,,,
Imipramine,CYP2C19,substrate,KEGG, Not Specified,,,, 
Imipramine,CYP2D6,substrate,KEGG, Not Specified,,,, 
Imiquimod,CYP1A2,substrate,DrugBank,Not Specified,DB00724,,,
Imiquimod,CYP3A4,substrate,DrugBank,Not Specified,DB00724,,,
Imiquimod,CYP3A4,substrate,DrugBank,Not Specified,DB00724,,,
Imiquimod,CYP1A2,substrate,SuperCYP,human,,,,
Imiquimod,CYP1A2,substrate,SuperCYP,,,,,
Imiquimod,CYP3A4,substrate,SuperCYP,,,,,
Imiquimod,CYP3A4,substrate,SuperCYP,human,,,,
Imiquimod,CYP3A4,substrate,SuperCYP,,,,,
Imiquimod,CYP3A4,substrate,SuperCYP,human,,,,
Indacaterol,CYP3A4,substrate,DrugBank,Not Specified,DB05039,,,
Indacaterol,CYP3A4,substrate,DrugBank,Not Specified,DB05039,,,
Indapamide,CYP3A4,substrate,DrugBank,Not Specified,DB00808,,,
Indapamide,CYP3A4,substrate,DrugBank,Not Specified,DB00808,,,
Indigo carmine,CYP2A6,inhibitor,SuperCYP,,,,,
Indinavir,CYP2C9,inhibitor,DrugBank,Not Specified,DB00224,,,
Indinavir,CYP2C19,inhibitor,DrugBank,Not Specified,DB00224,,,
Indinavir,CYP2D6,inhibitor,DrugBank,Not Specified,DB00224,,,
Indinavir,CYP3A7,"substrate,inhibitor",DrugBank,Not Specified,DB00224,,,
Indinavir,CYP3A5,"substrate,inhibitor",DrugBank,Not Specified,DB00224,,,
Indinavir,CYP3A4,"substrate,inhibitor",DrugBank,Not Specified,DB00224,,,
indinavir,CYP3A4,substrate,Indiana University,Not Specified,,,,
indinavir,CYP3A5,substrate,Indiana University,Not Specified,,,,
indinavir,CYP3A7,substrate,Indiana University,Not Specified,,,,
indinavir,CYP3A4,inhibitor,Indiana University,Not Specified,,,,Strong
indinavir,CYP3A5,inhibitor,Indiana University,Not Specified,,,,Strong
indinavir,CYP3A7,inhibitor,Indiana University,Not Specified,,,,Strong
Indinavir,CYP3A,inhibitor,KEGG, Not Specified,,,, Strong
Indinavir,CYP3A5,substrate,KEGG, Not Specified,,,, 
Indinavir,CYP3A7,substrate,KEGG, Not Specified,,,, 
Indinavir,CYP3A,substrate,KEGG, Not Specified,,,, Sensitive
Indinavir,CYP3A,substrate,KEGG, Not Specified,,,, Sensitive
indinavir,CYP3A4,substrate,ildcare,Not Specified,,,,
indinavir,CYP3A4,inhibitor,ildcare,Not Specified,,,,
Indinavir,CYP3A4,"substrate,inhibitor",DrugBank,Not Specified,DB00224,,,
indinavir,CYP3A4,substrate,Indiana University,Not Specified,,,,
indinavir,CYP3A4,inhibitor,Indiana University,Not Specified,,,,Strong
indinavir,CYP3A4,substrate,ildcare,Not Specified,,,,
indinavir,CYP3A4,inhibitor,ildcare,Not Specified,,,,
Indinavir,CYP3A5,"substrate,inhibitor",DrugBank,Not Specified,DB00224,,,
indinavir,CYP3A5,substrate,Indiana University,Not Specified,,,,
indinavir,CYP3A5,inhibitor,Indiana University,Not Specified,,,,Strong
Indinavir,CYP3A5,substrate,KEGG, Not Specified,,,, 
Indinavir,CYP3A7,"substrate,inhibitor",DrugBank,Not Specified,DB00224,,,
indinavir,CYP3A7,substrate,Indiana University,Not Specified,,,,
indinavir,CYP3A7,inhibitor,Indiana University,Not Specified,,,,Strong
Indinavir,CYP3A7,substrate,KEGG, Not Specified,,,, 
Indinavir,SLCO1B1,inhibitor,Transporter,,,,,
Indinavir,SLC01B1,inhibitor,Transporter,,,,,
Indinavir,CYP2C8,inhibitor,SuperCYP,,,,,
Indinavir,CYP2C9,inhibitor,SuperCYP,human,,,,
Indinavir,CYP2C9,inhibitor,SuperCYP,,,,,
Indinavir,CYP2C19,inhibitor,SuperCYP,human,,,,
Indinavir,CYP2C19,inhibitor,SuperCYP,,,,,
Indinavir,CYP2D6,inhibitor,SuperCYP,human,,,,
Indinavir,CYP2D6,inhibitor,SuperCYP,,,,,
Indinavir,CYP2D6,substrate,SuperCYP,,,,,
Indinavir,CYP3A4,inhibitor,SuperCYP,human,,,,
Indinavir,CYP3A4,substrate,SuperCYP,human,,,,
Indinavir,CYP3A4,inhibitor,SuperCYP,human,,,,
Indinavir,CYP3A4,substrate,SuperCYP,human,,,,
Indinavir,CYP3A5,inhibitor,SuperCYP,human,,,,
Indinavir,CYP3A5,substrate,SuperCYP,human,,,,
Indinavir,CYP3A7,inhibitor,SuperCYP,human,,,,
Indinavir,CYP3A7,substrate,SuperCYP,,,,,
Indinavir,CYP3A4,inhibitor,SuperCYP,human,,,,
Indinavir,CYP3A4,substrate,SuperCYP,human,,,,
Indinavir,CYP3A4,inhibitor,SuperCYP,human,,,,
Indinavir,CYP3A4,substrate,SuperCYP,human,,,,
Indinavir,CYP3A5,inhibitor,SuperCYP,human,,,,
Indinavir,CYP3A5,substrate,SuperCYP,human,,,,
Indinavir,CYP3A7,inhibitor,SuperCYP,human,,,,
Indinavir,CYP3A7,substrate,SuperCYP,,,,,
Indinavir,CYP3A,inhibitor,KEGG, Not Specified,,,, Strong
Indinavir,CYP3A5,substrate,KEGG, Not Specified,,,, 
Indinavir,CYP3A7,substrate,KEGG, Not Specified,,,, 
Indinavir,CYP3A,substrate,KEGG, Not Specified,,,, Sensitive
Indinavir,CYP3A5,substrate,KEGG, Not Specified,,,, 
Indinavir,CYP3A7,substrate,KEGG, Not Specified,,,, 
Indinavir,CYP3A,inhibitor,KEGG, Not Specified,,,, Strong
Indinavir,CYP3A5,substrate,KEGG, Not Specified,,,, 
Indinavir,CYP3A7,substrate,KEGG, Not Specified,,,, 
Indinavir,CYP3A,substrate,KEGG, Not Specified,,,, Sensitive
Indinavir,CYP3A5,substrate,KEGG, Not Specified,,,, 
Indinavir,CYP3A7,substrate,KEGG, Not Specified,,,, 
Indometacin,CYP2C8,inhibitor,SuperCYP,,,,,
Indometacin,CYP2C8,substrate,SuperCYP,,,,,
Indometacin,CYP2C9,substrate,SuperCYP,human,,,,
Indometacin,CYP2C9,inhibitor,SuperCYP,,,,,
Indometacin,CYP2C9,substrate,SuperCYP,human,,,,
Indometacin,CYP2C19,substrate,SuperCYP,human,,,,
Indometacin,CYP2C19,inhibitor,SuperCYP,,,,,
Indometacin,CYP2C19,substrate,SuperCYP,,,,,
Indometacin,CYP2C19,inhibitor,KEGG, Not Specified,,,, 
Indometacin,CYP2C19,substrate,KEGG, Not Specified,,,, 
Indomethacin,CYP2C9,substrate,DrugBank,Not Specified,DB00328,,,
indomethacin,CYP2C9,substrate,ildcare,Not Specified,,,,
Indomethacin,CYP2C19,"substrate,inhibitor",DrugBank,Not Specified,DB00328,,,
indomethacin,CYP2C19,substrate,Indiana University,Not Specified,,,,
indomethacin,CYP2C19,inhibitor,Indiana University,Not Specified,,,,
Indomethacin,CYP2C19,inhibitor,KEGG, Not Specified,,,, 
Indomethacin,CYP2C19,substrate,KEGG, Not Specified,,,, 
indomethacin,CYP2C19,substrate,ildcare,Not Specified,,,,
indomethacin,CYP2C19,Inhibitor,ildcare,Not Specified,,,,
Indomethacin,SLC22A6,inhibitor,Transporter,,,,,
Indomethacin,SLC22A8,inhibitor,Transporter,,,,,
Indomethacin,CYP2C19,inhibitor,KEGG, Not Specified,,,, 
Indomethacin,CYP2C19,substrate,KEGG, Not Specified,,,, 
Indoramin,CYP2D6,substrate,SuperCYP,human,,,,
Indoramin,CYP2D6,substrate,SuperCYP,human,,,,
inhaled insulin,CYP1A2,inducer,DrugBank,Not Specified,DB05278,,,
insulin,CYP1A2,inducer,Indiana University,Not Specified,,,,
Insulin,CYP1A2, inducer,KEGG, Not Specified,,,, 
insulin,CYP1A2,inducer,SuperCYP,human,,,,
Insulin,CYP2E1,inhibitor,SuperCYP,rat,,,,
insulin,CYP7A1,inhibitor,SuperCYP,,,,,
Insulin,CYP8B1,inhibitor,SuperCYP,human,,,,
insulin,CYP11B2,inhibitor,SuperCYP,rat,,,,
Insulin,CYP17A,inducer,SuperCYP,swine theca cells,,,,
insulin,CYP19A,inducer,SuperCYP,bovine granulosa cells,,,,
Insulin,CYP17A,inducer,SuperCYP,swine theca cells,,,,
insulin,CYP1A2,inducer,SuperCYP,human,,,,
Insulin,CYP2E1,inhibitor,SuperCYP,rat,,,,
insulin,CYP7A1,inhibitor,SuperCYP,,,,,
Insulin,CYP8B1,inhibitor,SuperCYP,human,,,,
insulin,CYP11B2,inhibitor,SuperCYP,rat,,,,
Insulin,CYP17A,inducer,SuperCYP,swine theca cells,,,,
insulin,CYP19A,inducer,SuperCYP,bovine granulosa cells,,,,
Insulin,CYP17A,inducer,SuperCYP,swine theca cells,,,,
insulin,CYP1A2,inducer,SuperCYP,human,,,,
Insulin,CYP2E1,inhibitor,SuperCYP,rat,,,,
insulin,CYP7A1,inhibitor,SuperCYP,,,,,
Insulin,CYP8B1,inhibitor,SuperCYP,human,,,,
insulin,CYP11B2,inhibitor,SuperCYP,rat,,,,
Insulin,CYP17A,inducer,SuperCYP,swine theca cells,,,,
insulin,CYP19A,inducer,SuperCYP,bovine granulosa cells,,,,
Insulin,CYP17A,inducer,SuperCYP,swine theca cells,,,,
insulin,CYP1A2,inducer,DrugBank,Not Specified,DB01306,,,
Insulin,CYP1A2, inducer,KEGG, Not Specified,,,, 
insulin,CYP1A2,inducer,DrugBank,Not Specified,DB01307,,,
Insulin,CYP1A2, inducer,KEGG, Not Specified,,,, 
insulin,CYP1A2,inducer,DrugBank,Not Specified,DB00047,,,
Insulin,CYP1A2, inducer,KEGG, Not Specified,,,, 
insulin,CYP1A2,inducer,DrugBank,Not Specified,DB01309,,,
Insulin,CYP1A2, inducer,KEGG, Not Specified,,,, 
insulin,CYP1A2, inducer,KEGG, Not Specified,,,, 
Insulin,CYP1A2, inducer,KEGG, Not Specified,,,, 
insulin,CYP1A2, inducer,KEGG, Not Specified,,,, 
Insulin,CYP1A2, inducer,KEGG, Not Specified,,,, 
insulin,CYP1A2, inducer,KEGG, Not Specified,,,, 
Insulin,CYP1A2, inducer,KEGG, Not Specified,,,, 
insulin,CYP1A2,inducer,DrugBank,Not Specified,DB00046,,,
Insulin,CYP1A2, inducer,KEGG, Not Specified,,,, 
insulin,CYP1A2, inducer,KEGG, Not Specified,,,, 
Insulin,CYP1A2,inducer,DrugBank,Not Specified,DB00030,,,
insulin,CYP1A2, inducer,KEGG, Not Specified,,,, 
Insulin,CYP1A2, inducer,KEGG, Not Specified,,,, 
insulin,CYP1A2, inducer,KEGG, Not Specified,,,, 
Insulin,CYP1A2,inducer,DrugBank,Not Specified,DB00071,,,
